,voted_for_republican,very_freq_voter,freq_voter,voted_03_05_2013,voted_05_21_2013,voted_06_07_2016,age,party,education,ismarried,home_owner,renters,ethnic,sex,hhcount
0,0,0,1,0,0,1,51.0,D,some_college,N,H,Y,white,M,1
1,0,0,0,0,0,1,53.0,D,some_college,Y,,Y,white,M,1
2,1,0,0,0,0,0,59.0,R,doctorate,N,H,Y,hispanic,M,2
3,1,0,0,0,0,1,23.0,D,bachelors,N,H,N,black,M,5
4,1,1,1,1,1,1,79.0,R,HS_drop_out,N,,Y,white,F,1
5,0,1,1,1,1,1,80.0,DS,high_school,Y,H,N,white,M,2
6,0,1,1,1,1,0,41.0,D,masters,N,H,N,hispanic,M,2
7,0,1,1,1,1,1,75.0,R,HS_drop_out,N,,Y,white,F,1
8,1,0,0,0,0,0,20.0,DS,high_school,N,,N,black,M,5
9,0,0,1,0,1,1,78.0,D,some_college,N,H,Y,,F,1
10,1,1,1,0,0,1,56.0,DS,,N,,Y,asian,,1
11,1,0,0,0,0,0,47.0,D,bachelors,Y,H,N,indian,M,2
12,0,1,1,1,1,1,55.0,D,some_college,N,H,Y,white,F,1
13,0,0,0,0,0,1,24.0,D,bachelors,N,,N,,M,2
14,0,0,1,0,0,1,86.0,D,high_school,N,H,N,white,F,4
15,1,0,0,0,0,1,45.0,DS,trade_school,N,,N,white,M,3
16,0,0,0,0,0,1,24.0,D,bachelors,N,,N,white,F,2
17,1,0,0,0,0,1,39.0,D,high_school,N,,Y,white,F,2
18,1,0,0,0,0,0,18.0,D,trade_school,N,H,N,hispanic,F,5
19,0,0,1,0,1,1,61.0,D,some_college,N,,N,hispanic,F,1
20,0,0,0,0,0,0,34.0,D,some_college,N,,N,,F,1
21,0,0,1,1,0,0,54.0,D,trade_school,N,,Y,hispanic,M,3
22,1,1,1,1,1,1,65.0,R,high_school,N,H,Y,white,M,3
23,0,0,0,0,0,1,39.0,D,masters,N,,N,asian,M,3
24,0,1,1,1,1,1,71.0,D,some_college,N,H,Y,black,F,1
25,1,1,1,1,1,1,83.0,D,bachelors,Y,H,N,,M,2
26,0,1,1,0,1,1,47.0,DS,high_school,N,H,N,black,F,4
27,0,0,0,0,0,1,35.0,D,bachelors,N,H,N,white,F,2
28,0,0,1,0,1,1,73.0,D,bachelors,N,,N,indian,M,2
29,0,0,0,0,0,1,64.0,D,bachelors,N,,Y,white,M,2
30,1,0,1,0,0,1,60.0,R,high_school,Y,H,N,black,M,5
31,1,0,0,0,0,0,45.0,D,bachelors,N,,Y,white,,3
32,0,1,1,1,1,1,62.0,GR,high_school,N,H,N,white,M,2
33,0,1,1,1,0,0,78.0,AI,trade_school,N,H,Y,white,M,2
34,0,0,1,1,0,1,37.0,D,bachelors,N,,N,black,F,2
35,1,1,1,1,1,1,63.0,R,HS_drop_out,N,,Y,black,F,1
36,0,0,0,0,0,0,19.0,D,trade_school,N,H,N,jewish,M,5
37,0,1,1,1,1,1,75.0,R,HS_drop_out,N,H,N,,F,1
38,1,1,1,1,1,1,69.0,D,trade_school,N,H,N,jewish,M,2
39,0,0,1,0,0,1,54.0,D,bachelors,N,,N,white,F,2
40,0,1,1,0,1,1,38.0,D,bachelors,N,,Y,,F,2
41,1,1,1,0,1,1,55.0,D,some_college,N,H,N,white,M,1
42,1,1,1,1,1,1,94.0,R,doctorate,N,H,N,asian,M,2
43,0,0,1,0,0,1,69.0,R,HS_drop_out,N,,Y,white,M,1
44,1,1,1,1,1,1,75.0,D,trade_school,N,,Y,,F,2
45,0,1,1,1,1,0,91.0,R,doctorate,N,H,N,white,M,2
46,1,0,0,0,0,1,49.0,D,trade_school,N,,Y,white,M,2
47,0,1,1,0,1,1,54.0,D,some_college,N,H,N,white,F,1
48,0,0,1,0,1,0,94.0,D,bachelors,N,H,Y,,F,2
49,1,1,1,0,1,1,85.0,D,masters,N,H,N,white,F,4
50,0,0,1,0,0,0,52.0,R,HS_drop_out,N,H,N,white,M,1
51,0,0,1,0,1,1,61.0,D,bachelors,N,,N,white,F,2
52,0,1,1,1,1,1,67.0,D,bachelors,Y,H,N,white,F,4
53,0,1,1,1,1,1,64.0,D,bachelors,N,H,N,,F,2
